movie	42	2013
actor	Jones, Evan	A Million Ways to Die in the West	2014	Lewis
actor	Kenin, Dylan	A Million Ways to Die in the West	2014	Pastor's Son
actor	Klintworth, Jack	A Million Ways to Die in the West	2014	Barn Dance Band
actor	Adler, Tom	A Million Ways to Die in the West	2014	Barn Dance Band
actor	Aylward, John	A Million Ways to Die in the West	2014	Pastor Wilson
actor	Bailey, Preston	A Million Ways to Die in the West	2014	12 Year Old Albert
actor	Berryman, Joe	A Million Ways to Die in the West	2014	Teacher
actor	Brutsche, Ivan	A Million Ways to Die in the West	2014	Angry Cowboy
actor	Buzzell, Jackamoe	A Million Ways to Die in the West	2014	Other Cowboy
actor	Byram, Amick	A Million Ways to Die in the West	2014	Marcus Thornton
actor	Callaghan, Steve	A Million Ways to Die in the West	2014	Waiter
actor	Carlson, Ardy Brent	A Million Ways to Die in the West	2014	Cowboy Ardy
actor	Carthy, Gerry	A Million Ways to Die in the West	2014	Barn Dance Band
actor	Clark, Matt	A Million Ways to Die in the West	2014	Old Prospector
movie	A Time to Kill	1996
director	Schumacher, Joel	A Time to Kill	1996
actress	Omilami, Elizabeth	A Time to Kill	1996	Woman Angry at Klan
actress	Kyle, Alexandra	A Time to Kill	1996	Hannah Brigance
actress	Middleton, Lorraine	A Time to Kill	1996	Blonde Woman Juror
actress	Toyon, Stacy Rae	A Time to Kill	1996	Looney's Wife
actress	Ritchie, Perry	A Time to Kill	1996	Sarah Hardy
actress	Rose, Bettina	A Time to Kill	1996	Evelyn (Buckley's Secretary)
actress	Spencer, Octavia	A Time to Kill	1996	Roark's Nurse
actress	Stewart, Tonea	A Time to Kill	1996	Gwen Hailey
actress	Strickland, Stephanie	A Time to Kill	1996	Stephanie (Reporter #1 with Buckley)
actress	Floyd, Helen E.	A Time to Kill	1996	Waitress at Claude's
actress	Fricker, Brenda	A Time to Kill	1996	Ethel Twitty
actress	Gilbreath, Mildred J.	A Time to Kill	1996	Noose's Housekeeper
actress	Grant, Beth	A Time to Kill	1996	Cora Mae Cobb
actress	Hendrix, Kim	A Time to Kill	1996	Kim (Reporter #2 with Buckley)
actress	Hilton, Sherri	A Time to Kill	1996	Reporter #2 with Jake
actress	Johnson, Linda Calvin	A Time to Kill	1996	Sugar
actress	Judd, Ashley	A Time to Kill	1996	Carla Brigance
actress	Julius-Scott, Alice	A Time to Kill	1996	N.A.A.C.P. Woman
actress	Kelly, Rae'Ven	A Time to Kill	1996	Tonya Hailey
actress	Koon, Rebecca	A Time to Kill	1996	Dell
actress	Bullock, Sandra	A Time to Kill	1996	Ellen Roark
actress	Dixon, Maggie Wade	A Time to Kill	1996	T.V. Anchor
actress	Dixon-Green, Rosebud	A Time to Kill	1996	Woman at Rally
actor	Lauren, Greg	A Time to Kill	1996	Taylor
actor	Lloyd, Devin	A Time to Kill	1996	Willie Hailey
actor	Loughlin, Terry	A Time to Kill	1996	Jury Foreman
actor	McConaughey, Matthew	A Time to Kill	1996	Jake Tyler Brigance
actor	McCullough, Tommy	A Time to Kill	1996	Old Fisherman
actor	McGoohan, Patrick	A Time to Kill	1996	Judge Omar Noose
actor	McGrew, LaConte	A Time to Kill	1996	Slim Hailey
actor	McLaren, Mike	A Time to Kill	1996	Administrator at Whitfield
actor	Merdis, Thomas	A Time to Kill	1996	Reverend Ollie Agee
actor	Mitchell, Darrin	A Time to Kill	1996	Skip Hailey
actor	Monich, Tim	A Time to Kill	1996	Reverend Fink
actor	Mouton, Benjamin	A Time to Kill	1996	Klan Bomber
actor	Nelson, Danny	A Time to Kill	1996	Bud Twitty
actor	Parati, Tim	A Time to Kill	1996	Winston
actor	Dutton, Charles S.	A Time to Kill	1996	Sheriff Ozzie Walls
actor	Freeman, Terrance	A Time to Kill	1996	Court Deputy
actor	Hadary, Jonathan	A Time to Kill	1996	Norman Reinfield
actor	Hambline, Russell	A Time to Kill	1996	Old Man Bates
actor	Heald, Anthony	A Time to Kill	1996	Dr. Wilbert Rodeheaver
actor	Hodges, David U.	A Time to Kill	1996	Bailiff
actor	Hunt, Jerry	A Time to Kill	1996	John (the Electrical Company Worker)
actor	Hutchins, Walter L.	A Time to Kill	1996	N.A.A.C.P. Man #2
actor	Hutchison, Doug	A Time to Kill	1996	James Louis 'Pete' Willard
actor	Jackson, Samuel L.	A Time to Kill	1996	Carl Lee Hailey
actor	Jay, Rob	A Time to Kill	1996	Reporter #3 with Buckley
actor	Jennings, Byron	A Time to Kill	1996	Brent Musgrove
actor	Johnson, Mark W.	A Time to Kill	1996	Deputy Willie Hastings
actor	Katt, Nicky	A Time to Kill	1996	Billy Ray Cobb
actor	Ballou, Howard	A Time to Kill	1996	Reporter #1 with Hastings
actor	Beamon, Brance H.	A Time to Kill	1996	Noose's Butler
actor	Bell Jr., Robert R.	A Time to Kill	1996	Fisherman
actor	Bullen, Joe	A Time to Kill	1996	Joe Frank Perryman
actor	Cain, Lukas	A Time to Kill	1996	Looney's Son
actor	Chapman, Robert	A Time to Kill	1996	Young Fisherman
actor	Cooper, Chris	A Time to Kill	1996	Deputy Dwayne Powell Looney
actor	Coulter, Steve	A Time to Kill	1996	Klansman
actor	Crapps, Will	A Time to Kill	1996	Minister
actor	Crumley Jr., James M.	A Time to Kill	1996	Guardsman Mackenvale
actor	Dehart, Wayne	A Time to Kill	1996	Claude
actor	Demers, Todd	A Time to Kill	1996	Reporter #1 with Jake
